Gewest,Maand,Maand_dt,Data_Type,Primo-registraties,Starters_Scaled_Yearly,Schrappingen,Stoppers_Scaled_Yearly,Btw-plichtig ond. aan het einde van de maand
Vlaams Gewest,Januari 2021,2021-01-01,Monthly,1615.0,19380.0,-1044.0,-12528.0,90866.0
Vlaams Gewest,Februari 2021,2021-02-01,Monthly,1206.0,14472.0,-448.0,-5376.0,91735.0
Vlaams Gewest,Maart 2021,2021-03-01,Monthly,949.0,11388.0,-624.0,-7488.0,92140.0
Vlaams Gewest,April 2021,2021-04-01,Monthly,1635.0,19620.0,-712.0,-8544.0,93228.0
Vlaams Gewest,Mei 2021,2021-05-01,Monthly,1005.0,12060.0,-335.0,-4020.0,94002.0
Vlaams Gewest,Juni 2021,2021-06-01,Monthly,727.0,8724.0,-467.0,-5604.0,94351.0
Vlaams Gewest,Juli 2021,2021-07-01,Monthly,1108.0,13296.0,-531.0,-6372.0,95025.0
Vlaams Gewest,Augustus 2021,2021-08-01,Monthly,686.0,8232.0,-285.0,-3420.0,95486.0
Vlaams Gewest,September 2021,2021-09-01,Monthly,631.0,7572.0,-446.0,-5352.0,95763.0
Vlaams Gewest,Oktober 2021,2021-10-01,Monthly,1231.0,14772.0,-605.0,-7260.0,96505.0
Vlaams Gewest,November 2021,2021-11-01,Monthly,791.0,9492.0,-403.0,-4836.0,96953.0
Vlaams Gewest,December 2021,2021-12-01,Monthly,622.0,7464.0,-805.0,-9660.0,96740.0
Vlaams Gewest,Januari 2022,2022-01-01,Monthly,1434.0,17208.0,-1076.0,-12912.0,97297.0
Vlaams Gewest,Februari 2022,2022-02-01,Monthly,1011.0,12132.0,-566.0,-6792.0,97817.0
Vlaams Gewest,Maart 2022,2022-03-01,Monthly,808.0,9696.0,-706.0,-8472.0,98022.0
Vlaams Gewest,April 2022,2022-04-01,Monthly,1277.0,15324.0,-736.0,-8832.0,98728.0
Vlaams Gewest,Mei 2022,2022-05-01,Monthly,784.0,9408.0,-399.0,-4788.0,99283.0
Vlaams Gewest,Juni 2022,2022-06-01,Monthly,664.0,7968.0,-549.0,-6588.0,99585.0
Vlaams Gewest,Juli 2022,2022-07-01,Monthly,1028.0,12336.0,-655.0,-7860.0,100090.0
Vlaams Gewest,Augustus 2022,2022-08-01,Monthly,701.0,8412.0,-352.0,-4224.0,100523.0
Vlaams Gewest,September 2022,2022-09-01,Monthly,696.0,8352.0,-554.0,-6648.0,100796.0
Vlaams Gewest,Oktober 2022,2022-10-01,Monthly,1292.0,15504.0,-632.0,-7584.0,101586.0
Vlaams Gewest,November 2022,2022-11-01,Monthly,891.0,10692.0,-378.0,-4536.0,102202.0
Vlaams Gewest,December 2022,2022-12-01,Monthly,705.0,8460.0,-939.0,-11268.0,102185.0
Vlaams Gewest,Januari 2023,2023-01-01,Monthly,1511.0,18132.0,-1349.0,-16188.0,102512.0
Vlaams Gewest,Februari 2023,2023-02-01,Monthly,1051.0,12612.0,-559.0,-6708.0,103131.0
Vlaams Gewest,Maart 2023,2023-03-01,Monthly,837.0,10044.0,-820.0,-9840.0,103228.0
Vlaams Gewest,April 2023,2023-04-01,Monthly,1226.0,14712.0,-782.0,-9384.0,103809.0
Vlaams Gewest,Mei 2023,2023-05-01,Monthly,910.0,10920.0,-499.0,-5988.0,104294.0
Vlaams Gewest,Juni 2023,2023-06-01,Monthly,738.0,8856.0,-693.0,-8316.0,104426.0
Vlaams Gewest,Juli 2023,2023-07-01,Monthly,1122.0,13464.0,-825.0,-9900.0,104827.0
Vlaams Gewest,Augustus 2023,2023-08-01,Monthly,680.0,8160.0,-350.0,-4200.0,105246.0
Vlaams Gewest,September 2023,2023-09-01,Monthly,681.0,8172.0,-625.0,-7500.0,105353.0
Vlaams Gewest,Oktober 2023,2023-10-01,Monthly,1265.0,15180.0,-798.0,-9576.0,105964.0
Vlaams Gewest,November 2023,2023-11-01,Monthly,811.0,9732.0,-498.0,-5976.0,106389.0
Vlaams Gewest,December 2023,2023-12-01,Monthly,608.0,7296.0,-1010.0,-12120.0,106055.0
Vlaams Gewest,Januari 2024,2024-01-01,Monthly,1371.0,16452.0,-1467.0,-17604.0,106187.0
Vlaams Gewest,Februari 2024,2024-02-01,Monthly,975.0,11700.0,-666.0,-7992.0,106558.0
Vlaams Gewest,Maart 2024,2024-03-01,Monthly,689.0,8268.0,-796.0,-9552.0,106509.0
Vlaams Gewest,April 2024,2024-04-01,Monthly,1178.0,14136.0,-907.0,-10884.0,106893.0
Vlaams Gewest,Mei 2024,2024-05-01,Monthly,739.0,8868.0,-550.0,-6600.0,107146.0
Vlaams Gewest,Juni 2024,2024-06-01,Monthly,529.0,6348.0,-680.0,-8160.0,107025.0
Vlaams Gewest,Juli 2024,2024-07-01,Monthly,914.0,10968.0,-840.0,-10080.0,107178.0
Vlaams Gewest,Augustus 2024,2024-08-01,Monthly,592.0,7104.0,-436.0,-5232.0,107384.0
Vlaams Gewest,September 2024,2024-09-01,Monthly,505.0,6060.0,-601.0,-7212.0,107350.0
Vlaams Gewest,Oktober 2024,2024-10-01,Monthly,1278.0,15336.0,-864.0,-10368.0,107905.0
Vlaams Gewest,November 2024,2024-11-01,Monthly,658.0,7896.0,-472.0,-5664.0,108175.0
Vlaams Gewest,December 2024,2024-12-01,Monthly,419.0,5028.0,-1141.0,-13692.0,107496.0
Vlaams Gewest,Januari 2025,2025-01-01,Monthly,1508.0,18096.0,-1481.0,-17772.0,107674.0
Vlaams Gewest,Februari 2025,2025-02-01,Monthly,861.0,10332.0,-606.0,-7272.0,108011.0
Vlaams Gewest,Maart 2025,2025-03-01,Monthly,527.0,6324.0,-589.0,-7068.0,108005.0
Vlaams Gewest,April 2025,2025-04-01,Monthly,729.0,8748.0,-1071.0,-12852.0,107799.0
Vlaams Gewest,Mei 2025,2025-05-01,Monthly,491.0,5892.0,-580.0,-6960.0,107808.0
Brussels Hoofdstedelijk Gewest,Januari 2021,2021-01-01,Monthly,166.0,1992.0,-119.0,-1428.0,14301.0
Brussels Hoofdstedelijk Gewest,Februari 2021,2021-02-01,Monthly,105.0,1260.0,-112.0,-1344.0,14290.0
Brussels Hoofdstedelijk Gewest,Maart 2021,2021-03-01,Monthly,108.0,1296.0,-133.0,-1596.0,14258.0
Brussels Hoofdstedelijk Gewest,April 2021,2021-04-01,Monthly,175.0,2100.0,-107.0,-1284.0,14318.0
Brussels Hoofdstedelijk Gewest,Mei 2021,2021-05-01,Monthly,91.0,1092.0,-85.0,-1020.0,14326.0
Brussels Hoofdstedelijk Gewest,Juni 2021,2021-06-01,Monthly,85.0,1020.0,-117.0,-1404.0,14288.0
Brussels Hoofdstedelijk Gewest,Juli 2021,2021-07-01,Monthly,99.0,1188.0,-112.0,-1344.0,14260.0
Brussels Hoofdstedelijk Gewest,Augustus 2021,2021-08-01,Monthly,91.0,1092.0,-55.0,-660.0,14299.0
Brussels Hoofdstedelijk Gewest,September 2021,2021-09-01,Monthly,72.0,864.0,-109.0,-1308.0,14242.0
Brussels Hoofdstedelijk Gewest,Oktober 2021,2021-10-01,Monthly,137.0,1644.0,-82.0,-984.0,14288.0
Brussels Hoofdstedelijk Gewest,November 2021,2021-11-01,Monthly,106.0,1272.0,-92.0,-1104.0,14291.0
Brussels Hoofdstedelijk Gewest,December 2021,2021-12-01,Monthly,58.0,696.0,-82.0,-984.0,14254.0
Brussels Hoofdstedelijk Gewest,Januari 2022,2022-01-01,Monthly,146.0,1752.0,-122.0,-1464.0,14266.0
Brussels Hoofdstedelijk Gewest,Februari 2022,2022-02-01,Monthly,93.0,1116.0,-125.0,-1500.0,14218.0
Brussels Hoofdstedelijk Gewest,Maart 2022,2022-03-01,Monthly,80.0,960.0,-107.0,-1284.0,14171.0
Brussels Hoofdstedelijk Gewest,April 2022,2022-04-01,Monthly,133.0,1596.0,-101.0,-1212.0,14210.0
Brussels Hoofdstedelijk Gewest,Mei 2022,2022-05-01,Monthly,110.0,1320.0,-78.0,-936.0,14225.0
Brussels Hoofdstedelijk Gewest,Juni 2022,2022-06-01,Monthly,67.0,804.0,-109.0,-1308.0,14171.0
Brussels Hoofdstedelijk Gewest,Juli 2022,2022-07-01,Monthly,104.0,1248.0,-104.0,-1248.0,14164.0
Brussels Hoofdstedelijk Gewest,Augustus 2022,2022-08-01,Monthly,67.0,804.0,-93.0,-1116.0,14124.0
Brussels Hoofdstedelijk Gewest,September 2022,2022-09-01,Monthly,69.0,828.0,-105.0,-1260.0,14046.0
Brussels Hoofdstedelijk Gewest,Oktober 2022,2022-10-01,Monthly,137.0,1644.0,-92.0,-1104.0,14099.0
Brussels Hoofdstedelijk Gewest,November 2022,2022-11-01,Monthly,92.0,1104.0,-76.0,-912.0,14086.0
Brussels Hoofdstedelijk Gewest,December 2022,2022-12-01,Monthly,53.0,636.0,-107.0,-1284.0,14063.0
Brussels Hoofdstedelijk Gewest,Januari 2023,2023-01-01,Monthly,157.0,1884.0,-122.0,-1464.0,14074.0
Brussels Hoofdstedelijk Gewest,Februari 2023,2023-02-01,Monthly,99.0,1188.0,-88.0,-1056.0,14076.0
Brussels Hoofdstedelijk Gewest,Maart 2023,2023-03-01,Monthly,109.0,1308.0,-153.0,-1836.0,14019.0
Brussels Hoofdstedelijk Gewest,April 2023,2023-04-01,Monthly,137.0,1644.0,-113.0,-1356.0,14050.0
Brussels Hoofdstedelijk Gewest,Mei 2023,2023-05-01,Monthly,85.0,1020.0,-124.0,-1488.0,14006.0
Brussels Hoofdstedelijk Gewest,Juni 2023,2023-06-01,Monthly,63.0,756.0,-130.0,-1560.0,13943.0
Brussels Hoofdstedelijk Gewest,Juli 2023,2023-07-01,Monthly,92.0,1104.0,-102.0,-1224.0,13937.0
Brussels Hoofdstedelijk Gewest,Augustus 2023,2023-08-01,Monthly,50.0,600.0,-80.0,-960.0,13894.0
Brussels Hoofdstedelijk Gewest,September 2023,2023-09-01,Monthly,62.0,744.0,-102.0,-1224.0,13833.0
Brussels Hoofdstedelijk Gewest,Oktober 2023,2023-10-01,Monthly,116.0,1392.0,-109.0,-1308.0,13822.0
Brussels Hoofdstedelijk Gewest,November 2023,2023-11-01,Monthly,67.0,804.0,-82.0,-984.0,13802.0
Brussels Hoofdstedelijk Gewest,December 2023,2023-12-01,Monthly,37.0,444.0,-119.0,-1428.0,13701.0
Brussels Hoofdstedelijk Gewest,Januari 2024,2024-01-01,Monthly,372.0,4464.0,-138.0,-1656.0,13947.0
Brussels Hoofdstedelijk Gewest,Februari 2024,2024-02-01,Monthly,299.0,3588.0,-68.0,-816.0,14191.0
Brussels Hoofdstedelijk Gewest,Maart 2024,2024-03-01,Monthly,161.0,1932.0,-132.0,-1584.0,14232.0
Brussels Hoofdstedelijk Gewest,April 2024,2024-04-01,Monthly,321.0,3852.0,-139.0,-1668.0,14422.0
Brussels Hoofdstedelijk Gewest,Mei 2024,2024-05-01,Monthly,174.0,2088.0,-100.0,-1200.0,14508.0
Brussels Hoofdstedelijk Gewest,Juni 2024,2024-06-01,Monthly,120.0,1440.0,-121.0,-1452.0,14536.0
Brussels Hoofdstedelijk Gewest,Juli 2024,2024-07-01,Monthly,224.0,2688.0,-130.0,-1560.0,14649.0
Brussels Hoofdstedelijk Gewest,Augustus 2024,2024-08-01,Monthly,119.0,1428.0,-70.0,-840.0,14709.0
Brussels Hoofdstedelijk Gewest,September 2024,2024-09-01,Monthly,122.0,1464.0,-99.0,-1188.0,14739.0
Brussels Hoofdstedelijk Gewest,Oktober 2024,2024-10-01,Monthly,304.0,3648.0,-118.0,-1416.0,14931.0
Brussels Hoofdstedelijk Gewest,November 2024,2024-11-01,Monthly,166.0,1992.0,-88.0,-1056.0,15005.0
Brussels Hoofdstedelijk Gewest,December 2024,2024-12-01,Monthly,90.0,1080.0,-146.0,-1752.0,14938.0
Brussels Hoofdstedelijk Gewest,Januari 2025,2025-01-01,Monthly,278.0,3336.0,-153.0,-1836.0,15063.0
Brussels Hoofdstedelijk Gewest,Februari 2025,2025-02-01,Monthly,193.0,2316.0,-106.0,-1272.0,15163.0
Brussels Hoofdstedelijk Gewest,Maart 2025,2025-03-01,Monthly,101.0,1212.0,-85.0,-1020.0,15169.0
Brussels Hoofdstedelijk Gewest,April 2025,2025-04-01,Monthly,144.0,1728.0,-159.0,-1908.0,15168.0
Brussels Hoofdstedelijk Gewest,Mei 2025,2025-05-01,Monthly,92.0,1104.0,-83.0,-996.0,15181.0
Waals Gewest,Januari 2021,2021-01-01,Monthly,360.0,4320.0,-392.0,-4704.0,35893.0
Waals Gewest,Februari 2021,2021-02-01,Monthly,250.0,3000.0,-215.0,-2580.0,35989.0
Waals Gewest,Maart 2021,2021-03-01,Monthly,232.0,2784.0,-266.0,-3192.0,36000.0
Waals Gewest,April 2021,2021-04-01,Monthly,428.0,5136.0,-311.0,-3732.0,36198.0
Waals Gewest,Mei 2021,2021-05-01,Monthly,201.0,2412.0,-143.0,-1716.0,36305.0
Waals Gewest,Juni 2021,2021-06-01,Monthly,173.0,2076.0,-190.0,-2280.0,36326.0
Waals Gewest,Juli 2021,2021-07-01,Monthly,311.0,3732.0,-245.0,-2940.0,36457.0
Waals Gewest,Augustus 2021,2021-08-01,Monthly,190.0,2280.0,-103.0,-1236.0,36580.0
Waals Gewest,September 2021,2021-09-01,Monthly,157.0,1884.0,-145.0,-1740.0,36620.0
Waals Gewest,Oktober 2021,2021-10-01,Monthly,336.0,4032.0,-189.0,-2268.0,36828.0
Waals Gewest,November 2021,2021-11-01,Monthly,201.0,2412.0,-172.0,-2064.0,36899.0
Waals Gewest,December 2021,2021-12-01,Monthly,176.0,2112.0,-178.0,-2136.0,36889.0
Waals Gewest,Januari 2022,2022-01-01,Monthly,420.0,5040.0,-368.0,-4416.0,37037.0
Waals Gewest,Februari 2022,2022-02-01,Monthly,245.0,2940.0,-183.0,-2196.0,37150.0
Waals Gewest,Maart 2022,2022-03-01,Monthly,173.0,2076.0,-242.0,-2904.0,37118.0
Waals Gewest,April 2022,2022-04-01,Monthly,393.0,4716.0,-259.0,-3108.0,37336.0
Waals Gewest,Mei 2022,2022-05-01,Monthly,186.0,2232.0,-157.0,-1884.0,37438.0
Waals Gewest,Juni 2022,2022-06-01,Monthly,123.0,1476.0,-211.0,-2532.0,37427.0
Waals Gewest,Juli 2022,2022-07-01,Monthly,281.0,3372.0,-235.0,-2820.0,37551.0
Waals Gewest,Augustus 2022,2022-08-01,Monthly,137.0,1644.0,-113.0,-1356.0,37607.0
Waals Gewest,September 2022,2022-09-01,Monthly,134.0,1608.0,-160.0,-1920.0,37634.0
Waals Gewest,Oktober 2022,2022-10-01,Monthly,341.0,4092.0,-218.0,-2616.0,37808.0
Waals Gewest,November 2022,2022-11-01,Monthly,196.0,2352.0,-158.0,-1896.0,37871.0
Waals Gewest,December 2022,2022-12-01,Monthly,153.0,1836.0,-233.0,-2796.0,37978.0
Waals Gewest,Januari 2023,2023-01-01,Monthly,428.0,5136.0,-469.0,-5628.0,38012.0
Waals Gewest,Februari 2023,2023-02-01,Monthly,206.0,2472.0,-212.0,-2544.0,38042.0
Waals Gewest,Maart 2023,2023-03-01,Monthly,185.0,2220.0,-299.0,-3588.0,37955.0
Waals Gewest,April 2023,2023-04-01,Monthly,354.0,4248.0,-318.0,-3816.0,38057.0
Waals Gewest,Mei 2023,2023-05-01,Monthly,170.0,2040.0,-149.0,-1788.0,38115.0
Waals Gewest,Juni 2023,2023-06-01,Monthly,160.0,1920.0,-228.0,-2736.0,38072.0
Waals Gewest,Juli 2023,2023-07-01,Monthly,292.0,3504.0,-246.0,-2952.0,38181.0
Waals Gewest,Augustus 2023,2023-08-01,Monthly,150.0,1800.0,-119.0,-1428.0,38240.0
Waals Gewest,September 2023,2023-09-01,Monthly,138.0,1656.0,-169.0,-2028.0,38230.0
Waals Gewest,Oktober 2023,2023-10-01,Monthly,326.0,3912.0,-222.0,-2664.0,38413.0
Waals Gewest,November 2023,2023-11-01,Monthly,166.0,1992.0,-154.0,-1848.0,38479.0
Waals Gewest,December 2023,2023-12-01,Monthly,149.0,1788.0,-287.0,-3444.0,38367.0
Waals Gewest,Januari 2024,2024-01-01,Monthly,368.0,4416.0,-440.0,-5280.0,38463.0
Waals Gewest,Februari 2024,2024-02-01,Monthly,218.0,2616.0,-199.0,-2388.0,38533.0
Waals Gewest,Maart 2024,2024-03-01,Monthly,165.0,1980.0,-233.0,-2796.0,38510.0
Waals Gewest,April 2024,2024-04-01,Monthly,290.0,3480.0,-279.0,-3348.0,38586.0
Waals Gewest,Mei 2024,2024-05-01,Monthly,161.0,1932.0,-166.0,-1992.0,38604.0
Waals Gewest,Juni 2024,2024-06-01,Monthly,117.0,1404.0,-224.0,-2688.0,38521.0
Waals Gewest,Juli 2024,2024-07-01,Monthly,236.0,2832.0,-316.0,-3792.0,38493.0
Waals Gewest,Augustus 2024,2024-08-01,Monthly,114.0,1368.0,-137.0,-1644.0,38506.0
Waals Gewest,September 2024,2024-09-01,Monthly,119.0,1428.0,-173.0,-2076.0,38487.0
Waals Gewest,Oktober 2024,2024-10-01,Monthly,313.0,3756.0,-261.0,-3132.0,38598.0
