Datum,Kwartaal,Nieuwbouw,Nieuwbouw (voortschrijdend gemiddelde),Sloop,Sloop (voortschrijdend gemiddelde),Verbouwen of hergebruik,Verbouwen of hergebruik (voortschrijdend gemiddelde)
2018-01-01,Q1 2018,7443,,2023,,4747,
2018-04-01,Q2 2018,14795,,3517,,7354,
2018-07-01,Q3 2018,15319,,3228,,6762,
2018-10-01,Q4 2018,20224,14445.2,4398,3291.5,8068,6732.8
2019-01-01,Q1 2019,14082,16105.0,3651,3698.5,6931,7278.8
2019-04-01,Q2 2019,16838,16615.8,4123,3850.0,8470,7557.8
2019-07-01,Q3 2019,17429,17143.2,4417,4147.2,6987,7614.0
2019-10-01,Q4 2019,25427,18444.0,5665,4464.0,9921,8077.2
2020-01-01,Q1 2020,11643,17834.2,4179,4596.0,8235,8403.2
2020-04-01,Q2 2020,15004,17375.8,4632,4723.2,8616,8439.8
2020-07-01,Q3 2020,16483,17139.2,4729,4801.2,8810,8895.5
2020-10-01,Q4 2020,22797,16481.8,6331,4967.8,10481,9035.5
2021-01-01,Q1 2021,11158,16360.5,4633,5081.2,9904,9452.8
2021-04-01,Q2 2021,16335,16693.2,5698,5347.8,10557,9938.0
2021-07-01,Q3 2021,15040,16332.5,4860,5380.5,8345,9821.8
2021-10-01,Q4 2021,21462,15998.8,6527,5429.5,10398,9801.0
2022-01-01,Q1 2022,10426,15815.8,4238,5330.8,7569,9217.2
2022-04-01,Q2 2022,14177,15276.2,5312,5234.2,9482,8948.5
2022-07-01,Q3 2022,14299,15091.0,4584,5165.2,8736,9046.2
2022-10-01,Q4 2022,19611,14628.2,6039,5043.2,9567,8838.5
2023-01-01,Q1 2023,9917,14501.0,4169,5026.0,9059,9211.0
2023-04-01,Q2 2023,12413,14060.0,4896,4922.0,9372,9183.5
2023-07-01,Q3 2023,14878,14204.8,5102,5051.5,10246,9561.0
2023-10-01,Q4 2023,12305,12378.2,4761,4732.0,9943,9655.0
2024-01-01,Q1 2024,10220,12454.0,4141,4725.0,8909,9617.5
2024-04-01,Q2 2024,10001,11851.0,4995,4749.8,9178,9569.0
2024-07-01,Q3 2024,11230,10939.0,4501,4599.5,8977,9251.8
2024-10-01,Q4 2024,13445,11224.0,5326,4740.8,9427,9122.8
2025-01-01,Q1 2025,6730,10351.5,3852,4668.5,8722,9076.0
